,0,T_ref,T_res,abs
126,SolarArray,31.086189316343514,28.062367055874006,3.023822260469508
127,SolarArray,31.093871119361612,28.077278124424367,3.0165929949372448
128,SolarArray,31.09078224457954,28.068431304255114,3.0223509403244257
129,SolarArray,31.10004645224683,28.080355279330888,3.019691172915941
130,SolarArray,31.089611579937127,28.06737890353253,3.022232676404599
131,SolarArray,31.094254369823553,28.076112104215156,3.0181422656083967
132,SolarArray,31.09567291030407,28.06942634269052,3.0262465676135513
133,SolarArray,31.106542012159647,28.075060442225208,3.0314815699344386
134,SolarArray,31.10841775094821,28.071205787875897,3.0372119630723127
135,SolarArray,31.114659687797605,28.07305543209634,3.041604255701266
136,SolarArray,31.11213958992283,28.065030155768568,3.0471094341542617
137,SolarArray,31.111499377029592,28.076954330039314,3.034545046990278
138,SolarArray,31.10660982217325,28.061071694748932,3.0455381274243187
139,SolarArray,31.111809165669737,28.06957041291014,3.042238752759598
140,SolarArray,31.106334527007963,28.06425474949208,3.042079777515884
141,SolarArray,31.11357788974186,28.073817006327943,3.0397608834139156
142,SolarArray,31.10091133775518,28.06276444217349,3.03814689558169
143,SolarArray,31.11155309656908,28.076813004201824,3.0347400923672545
144,SolarArray,31.136288815621363,28.12064893654491,3.0156398790764527
145,SolarArray,31.155282578399692,28.158307773940123,2.996974804459569
146,SolarArray,31.153163789498137,28.13154345007507,3.021620339423066
147,SolarArray,31.171691342681303,28.160322596940603,3.0113687457407003
148,SolarArray,31.164058545425576,28.15174887703273,3.012309668392845
149,SolarArray,31.18560963267464,28.17568709972886,3.0099225329457795
150,SolarArray,31.17117378855812,28.155752775732196,3.015421012825925
151,SolarArray,31.19699130277985,28.167852086188702,3.0291392165911475
152,SolarArray,31.17517314467449,28.151038419365534,3.0241347253089543
153,SolarArray,31.198989461577703,28.171626287120034,3.027363174457669
154,SolarArray,31.16841166418004,28.148437069791328,3.0199745943887137
155,SolarArray,31.187001360425374,28.1634723155575,3.0235290448678747
156,SolarArray,31.162435384896924,28.147712884905445,3.0147224999914783
157,SolarArray,31.17278282600182,28.15791317526572,3.0148696507361024
158,SolarArray,31.15671190859695,28.14070083395586,3.0160110746410886
159,SolarArray,31.16303414120767,28.15031436982042,3.01271977138725
160,SolarArray,31.153342570336967,28.122631078974734,3.030711491362233
161,SolarArray,31.1720127861866,28.151983682460525,3.020029103726074
162,SolarArray,31.24331014461035,28.30859430240605,2.9347158422043016
163,SolarArray,31.312091975300692,28.370457079417747,2.9416348958829452
164,SolarArray,31.25770451663772,28.33293682452387,2.92476769211385
