,0,T_ref,T_res
102,Box:outer,94.65197399838428,98.87974082991974
103,Box:outer,93.42602096836978,97.64707698434904
104,Box:outer,92.57165226893926,96.79231866509053
105,Box:outer,96.70551615874372,100.94517091549943
106,Box:outer,94.77955139880557,99.00576116646783
107,Box:outer,93.39794759025972,97.61720746373413
108,Box:outer,92.3688227182055,96.58769905935333
109,Box:outer,96.6266989387899,100.86776051651725
110,Box:outer,94.7361208663655,98.96678773135727
111,Box:outer,93.39014741926444,97.61392395325709
112,Box:outer,92.39488763849891,96.61554024406178
113,Box:outer,96.01836956482937,100.26214584315943
114,Box:outer,94.58905428456028,98.8227055698872
115,Box:outer,93.41326755173792,97.64020423962029
116,Box:outer,92.61068149453324,96.83578606371992
117,Box:outer,92.2357298021476,96.4657201954123
118,Box:outer,92.0794782468119,96.33630255773477
119,Box:outer,92.0855798257413,96.38759974329281
120,Box:outer,92.25591922092268,96.6072536132375
121,Box:outer,92.07240772126323,96.30232398758022
122,Box:outer,91.93421973073015,96.19089907576239
123,Box:outer,91.95922440906573,96.25720977244788
124,Box:outer,92.16259816230007,96.51486317056265
125,Box:outer,92.09754800380408,96.32850518952893
126,Box:outer,91.96785774373285,96.22483328100327
127,Box:outer,91.99310353730301,96.28962117033461
128,Box:outer,92.18664492043264,96.53649422537512
129,Box:outer,92.30050739420568,96.53384419193361
130,Box:outer,92.19036289792714,96.44929862301541
131,Box:outer,92.19936849594185,96.49599960029366
132,Box:outer,92.3272010144446,96.67061734849455
133,Box:outer,92.58572814784162,96.99124964412653
134,Box:outer,93.29558385921185,97.75508122707106
135,Box:outer,94.31257549611955,98.82023714376334
136,Box:outer,95.6226867448205,100.16245092601048
137,Box:outer,92.583338556184,97.00861040474098
138,Box:outer,93.31350539848484,97.80422250269464
139,Box:outer,94.37931376744943,98.92276796917992
140,Box:outer,95.83702161434691,100.39408444082596
141,Box:outer,92.59806761771848,97.0205139865862
142,Box:outer,93.31582607551552,97.80332780347237
143,Box:outer,94.36740700497688,98.90733385599782
144,Box:outer,95.80318052652443,100.3573287249024
145,Box:outer,92.63326270493685,97.02983251134884
146,Box:outer,93.30419947088949,97.75284958911755
147,Box:outer,94.28548920568535,98.78231470466903
148,Box:outer,95.52402994428816,100.0534617866274
149,Box:outer,92.52381017879331,96.88684281468096
150,Box:outer,92.39663592286136,96.71634599718516
151,Box:outer,92.41260819821804,96.66505203019437
152,Box:outer,92.5486562069523,96.77670523358313
153,Box:outer,93.29458375706336,97.69292523159106
154,Box:outer,93.4039038111743,97.75718263237786
155,Box:outer,93.4797470068328,97.74211767350886
156,Box:outer,93.4132820763004,97.64667620638505
157,Box:outer,94.28351804432673,98.71608030836762
158,Box:outer,94.20038971421587,98.57024226400927
159,Box:outer,94.32022548481063,98.59368700720859
160,Box:outer,94.52669134820441,98.76805739825693
161,Box:outer,95.65093145186295,100.12133462137433
162,Box:outer,96.26706782362706,100.66999758811414
163,Box:outer,96.47337571689604,100.76191014688902
164,Box:outer,96.04578113680573,100.29586345209975
165,reel_box,76.71919675567062,80.34195346858024
166,reel_box,75.28476489057373,78.9137976445262
167,reel_box,61.481607538432854,64.8968601596024
168,reel_box,76.68503865127161,80.34016675594648
169,reel_box,79.77723375026198,83.47470761857136
170,reel_box,82.08658936646923,85.83385177701928
171,reel,81.35593122234445,85.07027057727572
172,thruster,84.29987738047208,88.16764830634582
173,thruster,84.29183084908624,88.16344840184411
174,thruster,84.2918053553734,88.16343182781884
175,thruster,84.29184005512622,88.16345598978086
176,thruster,84.29184800831644,88.16345692157586
177,thruster,84.28382410861462,88.1592672456627
178,thruster,84.22677690047124,88.09198881104214
179,thruster,84.2187194731297,88.08776597949446
180,thruster,84.21865493712069,88.08771325944309
181,thruster,84.21862569542157,88.08767180987752
182,thruster,84.21870059116031,88.0877421644476
183,thruster,84.21067476837698,88.08354576777691
