,0,T_ref,T_res,T_res2
153,Box:outer,118.24557090257021,-33.475271430479495,-122.30270913708361
154,Box:inner,118.24383104893379,-33.474932555504864,-122.30263300085807
155,Box:outer,117.97633361347641,-35.130730422051755,-122.42306918375957
156,Box:inner,117.9745928974412,-35.13041054675668,-122.42299393918066
157,Box:outer,115.7248418854859,-21.197131465832967,-121.65741238738471
158,Box:inner,115.72589972434922,-21.17002303997154,-121.65923674583624
159,Box:outer,117.0178412038778,-29.09501260971936,-122.07513857783954
160,Box:inner,117.0161031752433,-29.094604697884904,-122.0750612193026
161,Box:outer,117.5101625561076,-32.81430524263095,-122.28349637850275
162,Box:inner,117.5084244119084,-32.813957898360826,-122.28341839380326
163,Box:outer,117.3597806780522,-34.83543171896835,-122.39755121463094
164,Box:inner,117.35804223198771,-34.83510759802286,-122.39747445919622
165,Box:outer,116.5572937163344,-37.4729926143236,-122.57715824837186
166,Box:inner,116.55739555459309,-37.472329804367604,-122.57704863264001
167,Box:outer,115.4696897466119,-38.457587936217635,-122.6772899064635
168,Box:inner,115.46978853490249,-38.45693443191041,-122.67718015093354
169,Box:outer,114.48817169161622,-39.1868199129033,-122.74412241267555
170,Box:inner,114.4882676409013,-39.18617432700847,-122.7440128341276
171,Box:outer,113.6751823086177,-39.57838952766471,-122.77179973711131
172,Box:inner,113.67527765724701,-39.57774916134326,-122.77169039705558
173,Box:outer,116.96667307710591,-36.88288642424675,-122.55128476059693
174,Box:inner,116.96677046378409,-36.88222278961828,-122.55117562614456
175,Box:outer,115.57373025480179,-38.353862709920094,-122.67684188482536
176,Box:inner,115.5738262304961,-38.353213004976766,-122.67672619166115
177,Box:outer,114.46819015558741,-39.18701732790686,-122.7505380668542
178,Box:inner,114.46829274499659,-39.186376805808464,-122.75042288083878
179,Box:outer,113.4830785524061,-39.535578967015795,-122.77838067942088
180,Box:inner,113.4831971234228,-39.53494399445992,-122.77827350369569
181,Box:outer,116.90049353707121,-36.25720836214268,-122.50990398837496
182,Box:inner,116.9005913924391,-36.25653845810464,-122.50979328855118
183,Box:outer,115.52030827759451,-37.13134153194923,-122.56690174872097
184,Box:inner,115.5204085557843,-37.130679629820065,-122.56678230257339
185,Box:outer,114.4417480066007,-38.08813531733594,-122.62765761422258
186,Box:inner,114.44185167199541,-38.08748416357466,-122.62753942708264
187,Box:outer,113.50157811024741,-39.09112087799349,-122.71513871309799
188,Box:inner,113.5016971619768,-39.09048140496387,-122.7150299197065
189,Box:outer,116.4272638504646,-35.97854764513275,-122.47457851452091
190,Box:inner,116.4273653310013,-35.9778723041143,-122.47446617399308
191,Box:outer,115.3948028546401,-36.9812157731119,-122.54660060472438
192,Box:inner,115.3949011137323,-36.98055032988327,-122.54648781391046
193,Box:outer,114.4544452152813,-37.88401045192393,-122.59416048040313
194,Box:inner,114.45454141544509,-37.883354797738264,-122.59404793070684
195,Box:outer,113.6956157460813,-38.544719786191905,-122.61162436628649
196,Box:inner,113.6957119420869,-38.5440718149913,-122.61151278662985
197,Box:outer,113.1675474936081,-39.64465677456823,-122.78426870142849
198,Box:inner,113.1680653469713,-39.64401738629459,-122.78414733325874
199,Box:outer,112.83636184059651,-39.48261537621332,-122.7849742167248
200,Box:inner,112.8368679996034,-39.48197355744276,-122.78485262195562
201,Box:outer,112.651871450396,-39.04712792638932,-122.74983870176581
202,Box:inner,112.6523763127923,-39.046481408439206,-122.74971686771514
203,Box:outer,112.67432804485901,-38.49084074766222,-122.6911922599075
204,Box:inner,112.6748328297452,-38.49018820495081,-122.69106996070056
205,Box:outer,112.96009206467491,-39.563800559414005,-122.78882339720826
206,Box:inner,112.9606121224687,-39.56316326936337,-122.78870244522648
207,Box:outer,112.6245139264428,-39.38308431878758,-122.78235554853316
208,Box:inner,112.6250175791454,-39.382443816979844,-122.78223392401324
209,Box:outer,112.4699628411842,-38.968445461429184,-122.74943900479664
210,Box:inner,112.4704648953438,-38.96780075861449,-122.74931733557287
211,Box:outer,112.51508698856009,-38.33999944523754,-122.69061949959348
212,Box:inner,112.5155900308242,-38.339347176521386,-122.69049699340923
213,Box:outer,112.9819274915609,-39.214171597295945,-122.73466817452919
214,Box:inner,112.98244993960371,-39.213531402147794,-122.73454623686976
215,Box:outer,112.65935236614521,-39.04444602576618,-122.73311258149857
216,Box:inner,112.659857142868,-39.04380284426327,-122.73299003725987
217,Box:outer,112.51225125964491,-38.62241643589266,-122.70163410537819
218,Box:inner,112.51275353071439,-38.62176831407518,-122.7015111364112
219,Box:outer,112.55016307017709,-37.95949065517675,-122.64138185885457
220,Box:inner,112.5506664187812,-37.958835037723844,-122.64125839426544
221,Box:outer,113.2194798310483,-38.692451394503394,-122.62740839154642
222,Box:inner,113.22000108554859,-38.69180517198393,-122.62728504437851
223,Box:outer,112.9468904637608,-38.484879551132764,-122.6420032634083
224,Box:inner,112.947398001105,-38.48422992338928,-122.64187889635141
225,Box:outer,112.7965961834485,-38.03818952779784,-122.6108014181049
226,Box:inner,112.79710171865901,-38.037534782124794,-122.61067672515111
227,Box:outer,112.78004578701392,-37.417238953567306,-122.53856278172512
228,Box:inner,112.7805512425215,-37.416577888772565,-122.53843845395991
229,Box:outer,112.9100850658473,-37.861249241201705,-122.62390510930828
230,Box:inner,112.91042466014959,-37.86066664836093,-122.62379573217231
231,Box:outer,113.41603453871059,-36.868368567771796,-122.51187398722456
