------------------------------
Group: RemoteUnit 'Full Model'
------------------------------
'<output>'                     wrt '<variable>'                   | calc mag.  | check mag. | a(cal-chk) | r(cal-chk)
'prop_lwr.KS'                  wrt 'params.Spacer4_2'             | 1.1780e-03 | 3.1482e-03 | 4.3262e-03 | 1.3742e+00
'prop_lwr.KS'                  wrt 'params.Spacer4_3'             | 1.8468e-03 | 2.8377e-03 | 9.9105e-04 | 3.4924e-01
'prop_lwr.KS'                  wrt 'params.Spacer4_4'             | 2.1586e-03 | 5.8838e-03 | 8.0424e-03 | 1.3669e+00
'prop_lwr.KS'                  wrt 'params.Spacer5_1'             | 3.1754e-01 | 3.1200e-01 | 5.5349e-03 | 1.7740e-02
'prop_lwr.KS'                  wrt 'params.Spacer5_2'             | 3.1670e-01 | 3.1243e-01 | 4.2720e-03 | 1.3674e-02
'prop_lwr.KS'                  wrt 'params.Spacer5_3'             | 3.0857e-01 | 3.0852e-01 | 6.5523e-05 | 2.1238e-04
'prop_lwr.KS'                  wrt 'params.Spacer5_4'             | 3.0382e-01 | 3.0059e-01 | 3.2328e-03 | 1.0755e-02
'prop_lwr.KS'                  wrt 'params.alp_r'                 | 3.1199e+01 | 3.1213e+01 | 3.8484e-02 | 1.2329e-03
'prop_lwr.KS'                  wrt 'params.phi'                   | 9.0483e-01 | 8.7925e-01 | 2.5749e-02 | 2.9285e-02
'prop_upr.KS'                  wrt 'params.Box:outer'             | 1.3825e+03 | 1.3825e+03 | 6.8334e-03 | 4.9428e-06
'prop_upr.KS'                  wrt 'params.Hinge_inner_1'         | 1.2966e+02 | 1.2966e+02 | 1.0608e-03 | 8.1813e-06
'prop_upr.KS'                  wrt 'params.Hinge_inner_2'         | 1.2445e+02 | 1.2444e+02 | 4.2644e-03 | 3.4267e-05
'prop_upr.KS'                  wrt 'params.Hinge_outer_1'         | 1.2454e+00 | 1.2494e+00 | 3.9920e-03 | 3.1951e-03
'prop_upr.KS'                  wrt 'params.Hinge_outer_2'         | 1.2409e+00 | 1.2413e+00 | 4.5549e-04 | 3.6694e-04
'prop_upr.KS'                  wrt 'params.Panel_inner: back'     | 3.3650e+01 | 3.3654e+01 | 3.9107e-03 | 1.1620e-04
'prop_upr.KS'                  wrt 'params.Panel_outer:back'      | 3.7701e+00 | 3.7722e+00 | 2.0837e-03 | 5.5237e-04
'prop_upr.KS'                  wrt 'params.QI'                    | 5.4428e+02 | 5.4428e+02 | 1.4483e-02 | 2.6609e-05
'prop_upr.KS'                  wrt 'params.Spacer1_1'             | 4.3019e-01 | 4.2660e-01 | 3.6032e-03 | 8.4463e-03
'prop_upr.KS'                  wrt 'params.Spacer1_2'             | 3.1834e-01 | 3.1571e-01 | 2.6350e-03 | 8.3460e-03
