****************************************************************************
MODEL NAME = RU_v5_1
report produced by REPORT_RADIATIVE_MODEL procedure at 13:33 Sat 30 May 2020
****************************************************************************
-------------------------------------------------------------------------------------------------------------------
Model Name = RU_v5_1                                                                                                
-------------------------------------------------------------------------------------------------------------------
FACE | SUBMODEL | NODE | CRIT | PRIMITIVE NAME | FACE LABEL              | TYPE |  INFRA-RED/SOLAR    | FACE AREA  
     |          |      |      |                |                         |      | EPSI RHOD RHOS TAU  |            
     |          |      |      |                |                         |      | ALPH RHOD RHOS TAU  |            
-------------------------------------------------------------------------------------------------------------------
55   |          | 55   | N    | Panel_outer    | Panel_outer:solar_cells | RECT | .890 .110 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
56   |          | 56   | N    | Panel_outer    | Panel_outer:back        | RECT | .035 .965 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
57   |          | 57   | N    | Panel_outer    | Panel_outer:solar_cells | RECT | .890 .110 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
58   |          | 58   | N    | Panel_outer    | Panel_outer:back        | RECT | .035 .965 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
59   |          | 59   | N    | Panel_outer    | Panel_outer:solar_cells | RECT | .890 .110 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
60   |          | 60   | N    | Panel_outer    | Panel_outer:back        | RECT | .035 .965 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
61   |          | 61   | N    | Panel_outer    | Panel_outer:solar_cells | RECT | .890 .110 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
62   |          | 62   | N    | Panel_outer    | Panel_outer:back        | RECT | .035 .965 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
63   |          | 63   | N    | Panel_outer    | Panel_outer:solar_cells | RECT | .890 .110 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
64   |          | 64   | N    | Panel_outer    | Panel_outer:back        | RECT | .035 .965 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
65   |          | 65   | N    | Propulsion     | Prop                    | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
66   |          | 65   | N    | Propulsion     | Prop                    | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
67   |          | 66   | N    | Propulsion     | Prop                    | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
68   |          | 66   | N    | Propulsion     | Prop                    | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
69   |          | 67   | N    | Propulsion     | Prop                    | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
70   |          | 67   | N    | Propulsion     | Prop                    | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
71   |          | 68   | N    | Propulsion     | Prop                    | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
72   |          | 68   | N    | Propulsion     | Prop                    | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
73   |          | 69   | N    | Propulsion     | Prop                    | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
74   |          | 69   | N    | Propulsion     | Prop                    | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
75   |          | 70   | N    | Propulsion     | Prop                    | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
76   |          | 70   | N    | Propulsion     | Prop                    | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
77   |          | 71   | N    | Propulsion     | Prop                    | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
78   |          | 71   | N    | Propulsion     | Prop                    | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
79   |          | 72   | N    | Propulsion     | Prop                    | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
80   |          | 72   | N    | Propulsion     | Prop                    | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
81   |          | 73   | N    | Propulsion     | Prop                    | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
82   |          | 73   | N    | Propulsion     | Prop                    | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
83   |          | 74   | N    | AdditionalPCB  |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
84   |          | 74   | N    | AdditionalPCB  |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
85   |          | 75   | N    | AdditionalPCB  |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
86   |          | 75   | N    | AdditionalPCB  |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
87   |          | 76   | N    | AdditionalPCB  |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
88   |          | 76   | N    | AdditionalPCB  |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
89   |          | 77   | N    | AdditionalPCB  |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
90   |          | 77   | N    | AdditionalPCB  |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
91   |          | 78   | N    | AdditionalPCB  |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
92   |          | 78   | N    | AdditionalPCB  |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
93   |          | 79   | N    | AdditionalPCB  |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
94   |          | 79   | N    | AdditionalPCB  |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
     |          |      |      |                |                         |      | .720 .280 .000 .000 |            
95   |          | 80   | N    | AdditionalPCB  |                         | RECT | .890 .110 .000 .000 | 4.8767E-004
