****************************************************************************
MODEL NAME = RU_v4_detail
report produced by REPORT_RADIATIVE_MODEL procedure at 15:37 Fri 29 May 2020
****************************************************************************
-------------------------------------------------------------------------------------------------------------------
Model Name = RU_v4_detail                                                                                           
-------------------------------------------------------------------------------------------------------------------
FACE | SUBMODEL | NODE | CRIT | PRIMITIVE NAME | FACE LABEL              | TYPE |  INFRA-RED/SOLAR    | FACE AREA  
     |          |      |      |                |                         |      | EPSI RHOD RHOS TAU  |            
     |          |      |      |                |                         |      | ALPH RHOD RHOS TAU  |            
-------------------------------------------------------------------------------------------------------------------
51   |          | 42   | N    | Panel_outer    | Panel_outer:solar_cells | RECT | .890 .110 .000 .000 | 7.7778E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
52   |          | 43   | N    | Panel_outer    | Panel_outer:back        | RECT | .035 .965 .000 .000 | 7.7778E-004
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
53   |          | 44   | N    | Panel_outer    | Panel_outer:solar_cells | RECT | .890 .110 .000 .000 | 7.7778E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
54   |          | 45   | N    | Panel_outer    | Panel_outer:back        | RECT | .035 .965 .000 .000 | 7.7778E-004
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
55   |          | 46   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.5015E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
56   |          | 46   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.5015E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
57   |          | 47   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.5015E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
58   |          | 47   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.5015E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
59   |          | 48   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.5015E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
60   |          | 48   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.5015E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
61   |          | 49   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.5015E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
62   |          | 49   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.5015E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
63   |          | 50   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.6266E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
64   |          | 50   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.6266E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
65   |          | 51   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.6266E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
66   |          | 51   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.6266E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
67   |          | 52   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.6266E-003
     |          |      |      |                |                         |      | .500 .500 .000 .000 |            
68   |          | 52   | N    | Box            | Box:inner               | BOX  | .020 .980 .000 .000 | 1.6266E-003
     |          |      |      |                |                         |      | .190 .810 .000 .000 |            
69   |          | 53   | N    | Box            | Box:outer               | BOX  | .106 .894 .000 .000 | 1.6266E-003
